"","DGS","DON","EZU","FBT","FXD","FXG","FXH","FXN","FXO","FXR","FXU","FXZ","QTEC","QUAL","SPAB","SPIB","SPLB","XSLV"
"2015-03-31",17,5,11,1,4,3,2,16,10,9,18,14,15,6,12,13,8,7
"2015-04-30",6,11,3,1,4,8,2,5,10,7,18,12,13,9,16,14,17,15
"2015-05-29",5,13,2,3,10,12,1,7,6,11,17,4,9,8,16,14,18,15
"2015-06-30",7,15,5,4,10,9,1,11,2,13,17,3,8,6,16,14,18,12
"2015-07-31",16,13,8,1,7,4,2,18,3,14,15,10,9,5,12,11,17,6
"2015-08-31",17,12,13,2,6,1,3,18,5,16,9,15,14,8,7,10,11,4
"2015-09-30",17,12,13,11,7,5,10,18,8,16,4,15,14,9,1,3,2,6
"2015-10-30",14,8,12,18,11,9,17,16,10,15,2,13,7,6,1,4,3,5
"2015-11-30",11,4,13,17,14,16,18,8,7,15,5,12,2,3,9,6,10,1
"2015-12-31",13,6,7,8,12,5,18,17,4,11,9,10,1,2,15,14,16,3
"2016-01-29",17,7,12,5,16,1,10,18,9,15,11,14,3,2,6,8,13,4
"2016-02-29",14,8,16,17,12,3,13,18,15,11,2,9,10,7,1,4,5,6
"2016-03-31",7,8,15,18,11,3,17,14,16,9,1,6,13,12,2,5,4,10
"2016-04-29",3,5,16,18,10,9,17,6,15,4,2,1,14,11,13,12,7,8
"2016-05-31",9,4,13,15,16,10,8,2,5,3,11,1,14,12,18,17,7,6
"2016-06-30",16,6,17,13,18,8,5,1,7,11,9,3,14,15,12,10,4,2
"2016-07-29",9,4,18,14,17,7,5,15,12,16,6,3,8,13,11,10,2,1
"2016-08-31",2,7,18,8,9,12,6,17,13,15,10,4,1,11,16,14,5,3
"2016-09-30",2,12,14,4,6,17,8,18,7,10,16,5,1,11,15,13,9,3
"2016-10-31",4,12,2,10,9,18,14,6,5,3,17,8,1,11,16,13,15,7
"2016-11-30",15,7,10,11,9,18,17,5,3,2,14,6,1,8,13,12,16,4
"2016-12-30",17,7,11,12,9,13,14,4,2,1,10,6,5,8,16,15,18,3
"2017-01-31",15,7,11,13,10,12,14,5,2,1,9,4,6,8,17,16,18,3
"2017-02-28",13,5,10,11,14,15,9,12,2,3,8,4,1,7,18,17,16,6
"2017-03-31",2,11,3,4,15,12,5,18,7,10,8,9,1,6,16,14,13,17
"2017-04-28",1,8,4,3,10,11,5,18,15,12,7,9,2,6,16,13,14,17
"2017-05-31",3,15,1,4,10,11,5,18,17,12,13,16,2,6,9,8,7,14
"2017-06-30",6,16,1,5,14,17,3,18,15,10,13,12,2,9,7,8,4,11
"2017-07-31",9,15,3,1,12,17,2,18,5,6,16,10,4,8,14,13,7,11
"2017-08-31",2,15,5,1,14,17,6,18,3,11,13,12,8,7,10,9,4,16
"2017-09-29",2,14,3,1,8,17,11,16,4,9,18,5,7,6,13,12,10,15
"2017-10-20",1,12,3,2,9,18,14,11,10,6,17,5,4,7,16,15,13,8
