"","Class","Sector","Close","Rank"
"DGS","INTL","DEM",49.61,1
"DON","CAP","MIDCAP",101.47,12
"EZU","SECTOR","EI",43.39,3
"FBT","SECTOR","EH",125.22,2
"FXD","SECTOR","ECDI",38.9,9
"FXG","SECTOR","ECS",45.82,18
"FXH","SECTOR","EH",68.67,14
"FXN","SECTOR","EE",14.01,11
"FXO","SECTOR","EF",30.44,10
"FXR","SECTOR","EIC",38.26,6
"FXU","SECTOR","EUT",27.42,17
"FXZ","SECTOR","EBM",41.8,5
"QTEC","SECTOR","ET",71.4,4
"QUAL","CAP","LARGECAP",79.58,7
"SPAB","FIXED","ST.BOND",28.8,16
"SPIB","FIXED","IT.BOND",34.46,15
"SPLB","FIXED","LT.BOND",27.99,13
"XSLV","CAP","SMCAP",46.71,8
