row.names,DGS,DON,EZU,FBT,FXD,FXG,FXH,FXN,FXO,FXR,FXU,FXZ,QTEC,QUAL,XSLV
2015-04-01,0,0,0,0.25,0,0.166666667,0.25,0,0,0,0,0,0,0.333333333,0
2015-05-01,0,0,0.166666667,0.25,0,0,0.25,0,0,0,0,0,0,0.333333333,0
2015-06-01,0,0,0.25,0.166666667,0,0,0.25,0,0,0,0,0,0,0.333333333,0
2015-07-01,0,0,0.25,0.166666667,0,0,0.25,0,0,0,0,0,0,0.333333333,0
2015-08-01,0,0,0,0,0,0,0.25,0,0.25,0,0,0.166666667,0,0.333333333,0
2015-09-01,0,0,0,0.25,0,0.25,0.166666667,0,0,0,0,0,0,0,0.333333333
2015-10-01,0,0,0,0,0.166666667,0.25,0,0,0,0,0.25,0,0,0,0.333333333
2015-11-01,0,0,0,0,0,0,0,0,0,0,0.25,0,0.166666667,0.25,0.333333333
2015-12-01,0,0,0,0,0,0,0,0,0.116666667,0,0.1,0,0.116666667,0,0.666666667
2016-01-01,0,0,0,0,0,0.166666667,0,0,0.25,0,0,0,0.25,0.333333333,0
2016-02-01,0,0,0,0.166666667,0,0.25,0,0,0,0,0,0,0.25,0.333333333,0
2016-03-01,0,0,0,0,0,0.25,0,0,0,0,0.25,0.166666667,0,0,0.333333333
2016-04-01,0,0.333333333,0,0,0,0.25,0,0,0,0,0.25,0.166666667,0,0,0
2016-05-01,0.166666667,0.333333333,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0
2016-06-01,0,0.333333333,0,0,0,0,0,0.25,0,0.166666667,0,0.25,0,0,0
2016-07-01,0,0,0,0,0,0,0.166666667,0.25,0,0,0,0.25,0,0,0.333333333
2016-08-01,0,0,0,0,0,0,0.116666667,0,0,0,0.1,0.116666667,0,0,0.666666667
2016-09-01,0.166666667,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0.333333333
2016-10-01,0.25,0,0,0.166666667,0,0,0,0,0,0,0,0,0.25,0,0.333333333
2016-11-01,0,0,0.25,0,0,0,0,0,0,0.166666667,0,0,0.25,0,0.333333333
2016-12-01,0,0,0,0,0,0,0,0,0.166666667,0.25,0,0,0.25,0,0.333333333
2017-01-01,0,0,0,0,0,0,0,0.166666667,0.25,0.25,0,0,0,0,0.333333333
2017-02-01,0,0,0,0,0,0,0,0,0.25,0.25,0,0.166666667,0,0,0.333333333
2017-03-01,0,0.333333333,0,0,0,0,0,0,0.25,0.166666667,0,0,0.25,0,0
2017-04-01,0.25,0,0.166666667,0,0,0,0,0,0,0,0,0,0.25,0.333333333,0
2017-05-01,0.25,0,0,0.166666667,0,0,0,0,0,0,0,0,0.25,0.333333333,0
2017-06-01,0.166666667,0,0.25,0,0,0,0,0,0,0,0,0,0.25,0.333333333,0
2017-07-01,0,0,0.25,0,0,0,0.166666667,0,0,0,0,0,0.25,0.333333333,0
2017-08-01,0,0,0.166666667,0.25,0,0,0.25,0,0,0,0,0,0,0.333333333,0
2017-09-01,0.25,0,0,0.25,0,0,0,0,0.166666667,0,0,0,0,0.333333333,0
2017-10-01,0.25,0,0.166666667,0.25,0,0,0,0,0,0,0,0,0,0.333333333,0
2017-11-01,0.25,0,0.166666667,0.25,0,0,0,0,0,0,0,0,0,0.333333333,0
