row.names,DGS,EZU,QUAL,SPSM,XMLV
2015-11-01,0.05,0.2,0.35,0.05,0.35
2015-12-01,0.05,0.05,0.35,0.2,0.35
2016-01-01,0.05,0.2,0.35,0.05,0.35
2016-02-01,0.05,0.2,0.35,0.05,0.35
2016-03-01,0.05,0.05,0.35,0.2,0.35
2016-04-01,0.05,0.2,0.35,0.05,0.35
2016-05-01,0.05,0.05,0.35,0.2,0.35
2016-06-01,0.05,0.05,0.35,0.2,0.35
2016-07-01,0.05,0.05,0.35,0.2,0.35
2016-08-01,0.2,0.05,0.35,0.05,0.35
2016-09-01,0.23,0.05,0.32,0.05,0.35
2016-10-01,0.34,0.05,0.15,0.11,0.35
2016-11-01,0.35,0.05,0.05,0.2,0.35
2016-12-01,0.2,0.05,0.05,0.35,0.35
2017-01-01,0.2,0.05,0.05,0.35,0.35
2017-02-01,0.2,0.05,0.05,0.35,0.35
2017-03-01,0.1,0.05,0.15,0.35,0.35
2017-04-01,0.2,0.05,0.05,0.35,0.35
2017-05-01,0.14,0.05,0.11,0.35,0.35
2017-06-01,0.35,0.05,0.14,0.11,0.35
2017-07-01,0.05,0.35,0.26,0.29,0.05
2017-08-01,0.09,0.35,0.35,0.16,0.05
2017-09-01,0.2,0.35,0.35,0.05,0.05
2017-10-01,0.05,0.35,0.35,0.05,0.2
2017-11-01,0.05,0.26,0.35,0.05,0.29
