row.names,BAB,BIL,CWB,DEM,DGS,DON,EES,EMB,FLOT,FTSL,FV,GOVT,MTUM,NEAR,PDBC,PXH,QUAL,REET,SJNK,SPAB,SPHB,SPIB,SPLB,SPSM,SRLN,XMLV,XSLV
2015-11-01,0.12,0.14,0,0,0.03,0,0,0,0,0,0,0.14,0,0,0,0,0.21,0.03,0,0,0,0,0,0,0,0.21,0.12
2015-12-01,0.14,0,0,0,0.03,0,0,0.14,0,0,0,0,0,0,0,0,0.12,0.03,0,0,0,0.12,0,0,0,0.21,0.21
2016-01-01,0.12,0.14,0,0,0.03,0,0,0,0,0,0,0.14,0,0,0,0,0.21,0.03,0,0,0,0,0,0,0,0.21,0.12
2016-02-01,0.12,0.14,0,0,0.03,0,0,0,0,0,0,0.14,0.21,0,0,0,0,0.03,0,0,0,0,0,0,0,0.21,0.12
2016-03-01,0.12,0.14,0,0,0.03,0,0,0,0,0,0,0.14,0.21,0,0,0,0,0.03,0,0,0,0,0,0,0,0.21,0.12
2016-04-01,0.12,0.14,0,0,0.03,0,0,0,0,0,0,0.14,0,0,0,0,0.21,0.03,0,0,0,0,0,0,0,0.21,0.12
2016-05-01,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.12,0,0,0.03,0.12,0.14,0,0,0.21,0.21
2016-06-01,0,0,0,0,0,0.21,0.21,0,0.14,0.12,0,0,0,0,0.03,0.03,0,0,0,0,0.12,0,0.14,0,0,0,0
2016-07-01,0,0,0,0,0,0,0,0,0.12236,0,0,0,0.12,0,0.03,0.03,0,0,0,0,0,0.13764,0.14,0,0,0.21,0.21
2016-08-01,0,0,0,0,0,0,0,0,0.12,0,0,0,0.12,0,0.03,0.03,0,0,0,0,0,0.14,0.14,0,0,0.21,0.21
2016-09-01,0,0,0.02,0,0,0,0,0,0.14,0,0,0,0.03,0,0,0.03,0,0.12,0,0,0,0.1,0.14,0,0,0.21,0.21
2016-10-01,0,0,0.02704,0,0,0,0,0,0.14,0.09296,0,0,0,0,0,0.15252,0,0.17748,0,0,0.03,0,0.14,0.03,0,0.21,0
2016-11-01,0,0,0,0,0,0,0.21,0,0.14,0,0.03,0,0,0,0.108,0.21,0,0,0.096,0,0.042,0,0.14,0,0.024,0,0
2016-12-01,0,0,0,0,0,0.16728,0.17112,0,0.14,0,0,0,0,0,0.03,0.2016,0,0,0.14,0,0.03,0,0.06132,0,0.05868,0,0
2017-01-01,0.02632,0,0,0,0,0.21,0.21,0,0.14,0,0,0,0,0,0.03,0.12,0,0,0.09368,0,0.03,0,0,0,0.14,0,0
2017-02-01,0,0,0,0,0,0.17448,0.21,0,0.14,0,0,0,0,0,0.03,0.15042,0,0,0.10504,0,0.0351,0,0.0194,0,0.13556,0,0
2017-03-01,0,0,0.0848,0,0.03,0,0.18666,0,0.14,0,0,0,0,0,0,0,0,0.03,0,0,0.14334,0,0.0352,0,0.14,0.21,0
2017-04-01,0,0,0.14,0,0.06606,0,0,0,0.14,0,0,0,0.15864,0,0,0,0,0.03,0,0,0,0.12,0,0.21,0,0.1353,0
2017-05-01,0,0,0.14,0,0.03,0,0,0,0.14,0,0,0,0.21,0,0,0,0,0.03,0,0,0,0.12,0,0.17472,0,0.15528,0
2017-06-01,0,0,0.14,0,0.18192,0,0,0,0.14,0,0,0,0.21,0,0,0,0,0.03,0,0,0,0.12,0,0.06378,0,0.1143,0
2017-07-01,0,0,0.14,0,0.12,0,0,0,0,0,0.03,0,0.21,0.14,0,0,0,0.03,0,0.12,0,0,0,0.21,0,0,0
2017-08-01,0,0,0.14,0,0.1296,0,0,0,0.14,0,0.03,0,0.21,0,0,0,0,0.03,0,0,0,0.12,0,0.2004,0,0,0
2017-09-01,0,0,0.14,0,0,0,0,0,0.14,0,0.03,0,0.21,0,0,0.21,0,0.03,0,0,0,0.12,0,0.12,0,0,0
2017-10-01,0,0.14,0.14,0,0,0,0,0,0,0,0.0825,0,0.21,0,0.03,0.08832,0,0,0,0,0,0.12,0,0.18918,0,0,0
2017-11-01,0,0.14,0.14,0,0,0,0.21,0,0,0,0.12,0,0.21,0,0.03,0.03,0,0,0,0,0,0.12,0,0,0,0,0
