"","EQRA.mu","EQRA.sd","EQSharpe"
"IWB",0.000340303741269066,0.00798356759509375,-0.0617555480293366
"REET",3.08972520649257e-05,0.00842408593636195,-0.0952549733383834
"SPDW",0.000207989789002246,0.00927591440789216,-0.0674158381408771
"SPEM",0.000224721534226004,0.0116063599161337,-0.0524377844134674
"SPLG",0.000340702978138438,0.00790199047064539,-0.0623425650821698
"SPMD",0.000208094802600686,0.00965583696432662,-0.0647523910192957
"SPSM",0.000351397555861452,0.00999582853806702,-0.0482136899043967
"VB",0.000312385206498577,0.0092580540221554,-0.0562697220806962
"VEU",0.000195689972444176,0.00965821325390184,-0.0660208409284765
"VNQ",0.000106318820059808,0.00964749366880388,-0.0753578637345364
"VO",0.000292763405001504,0.00864604853185037,-0.0625221945424519
"VWO",0.000173377675644974,0.0120136576308186,-0.0549337826970676
