row.names,BAB,BIL,CWB,DEM,DGS,DON,EES,EMB,FLOT,FTSL,FV,GOVT,MTUM,NEAR,PDBC,PXH,QUAL,REET,SJNK,SPAB,SPHB,SPIB,SPLB,SPSM,SRLN,XMLV,XSLV
2015-04-01,0,0,0,0,0.11,0,0,0,0.11,0.11,0.12,0,0.11,0,0,0,0,0.11,0.11,0,0,0,0.11,0.11,0,0,0
2015-05-01,0,0,0,0,0.11,0,0,0.11,0.11,0,0.12,0,0,0,0,0,0,0.11,0,0,0.11,0,0.11,0.11,0.11,0,0
2015-06-01,0.11,0,0.11,0.12,0,0,0.11,0,0.11,0,0.11,0,0,0,0.11,0,0,0,0,0,0.11,0,0,0,0.11,0,0
2015-07-01,0.11,0,0.11,0,0,0,0.11,0,0.11,0.11,0.11,0,0.11,0,0.11,0.12,0,0,0,0,0,0,0,0,0,0,0
2015-08-01,0.11,0,0.11,0,0,0,0,0,0.11,0.11,0.11,0,0.12,0,0.11,0.11,0,0,0,0,0,0,0,0,0,0,0.11
2015-09-01,0.11,0.11,0.11,0,0.11,0,0,0,0,0,0,0.11,0.12,0,0,0,0,0.11,0,0,0,0,0,0,0,0.11,0.11
2015-10-01,0.11,0.11,0,0,0.11,0,0,0.11,0,0,0,0.12,0.11,0,0,0,0,0.11,0,0,0,0,0,0,0,0.11,0.11
2015-11-01,0.11,0.11,0,0,0.11,0,0,0.11,0,0,0,0.12,0,0,0,0,0.11,0.11,0,0,0,0,0,0,0,0.11,0.11
2015-12-01,0.11,0.11,0,0,0.11,0,0,0.11,0,0,0,0,0,0,0,0,0.11,0.11,0,0,0,0.11,0,0,0,0.11,0.12
2016-01-01,0.11,0.11,0.11,0,0.11,0,0,0,0,0,0,0.11,0,0,0,0,0.12,0.11,0,0,0,0,0,0,0,0.11,0.11
2016-02-01,0.12,0.11,0,0,0.11,0,0,0.11,0,0,0,0.11,0.11,0,0,0,0,0.11,0,0,0,0,0,0,0,0.11,0.11
2016-03-01,0.12,0.11,0,0,0.11,0,0,0.11,0,0,0,0.11,0.11,0,0,0,0,0.11,0,0,0,0,0,0,0,0.11,0.11
2016-04-01,0.12,0.11,0,0,0.11,0,0,0.11,0,0,0,0.11,0,0,0,0,0.11,0.11,0,0,0,0,0,0,0,0.11,0.11
2016-05-01,0,0.11,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0.12,0,0.11,0,0,0.11,0.11,0.11,0,0,0.11,0.11
2016-06-01,0,0,0,0,0,0.11,0.11,0,0.11,0.11,0,0,0,0,0.11,0.11,0,0,0.11,0,0.12,0,0.11,0,0,0,0
2016-07-01,0,0,0,0,0,0,0,0,0.11,0,0,0,0.11,0,0.12,0.11,0,0,0.11,0,0,0.11,0.11,0,0,0.11,0.11
2016-08-01,0,0,0,0,0,0,0,0,0.11,0,0,0,0.11,0,0.11,0.11,0,0,0.11,0,0,0.11,0.11,0,0,0.11,0.12
2016-09-01,0,0,0.11,0,0,0,0,0,0.11,0,0,0,0.11,0,0,0.12,0,0.11,0,0,0,0.11,0.11,0,0,0.11,0.11
2016-10-01,0,0,0.11,0,0,0,0,0,0.11,0.11,0,0,0,0,0,0.12,0,0.11,0,0,0.11,0,0.11,0.11,0,0.11,0
2016-11-01,0,0,0,0,0,0,0.11,0,0.11,0,0.11,0,0,0,0.11,0.12,0,0,0.11,0,0.11,0,0.11,0,0.11,0,0
2016-12-01,0,0,0,0,0,0.11,0.11,0,0.11,0,0,0,0,0,0.11,0.11,0,0,0.11,0,0.12,0,0.11,0,0.11,0,0
2017-01-01,0.11,0,0,0,0,0.11,0.11,0,0.11,0,0,0,0,0,0.11,0.11,0,0,0.11,0,0.12,0,0,0,0.11,0,0
2017-02-01,0,0,0,0,0,0.11,0.12,0,0.11,0,0,0,0,0,0.11,0.11,0,0,0.11,0,0.11,0,0.11,0,0.11,0,0
2017-03-01,0,0,0.11,0.11,0,0,0.11,0,0.11,0,0,0,0,0,0,0,0,0.11,0,0,0.12,0,0.11,0,0.11,0.11,0
2017-04-01,0,0,0.11,0,0.12,0,0,0,0.11,0,0,0,0.11,0,0,0,0,0.11,0,0,0,0.11,0.11,0.11,0,0.11,0
2017-05-01,0,0,0.11,0,0.12,0,0,0,0.11,0,0,0,0.11,0,0,0,0,0.11,0,0,0,0.11,0.11,0.11,0,0.11,0
2017-06-01,0,0,0.11,0,0.11,0,0,0,0.11,0,0,0,0.12,0,0,0,0,0.11,0,0,0,0.11,0.11,0.11,0,0.11,0
2017-07-01,0,0,0.11,0,0.11,0,0,0,0,0,0.11,0,0.12,0.11,0,0,0,0.11,0,0.11,0,0,0.11,0.11,0,0,0
2017-08-01,0,0,0.11,0,0.11,0,0,0,0.11,0,0.11,0,0.12,0,0,0,0,0.11,0,0,0,0.11,0.11,0.11,0,0,0
2017-09-01,0.11,0,0.11,0,0,0,0,0,0.11,0,0.11,0,0.12,0,0,0.11,0,0.11,0,0,0,0.11,0,0.11,0,0,0
2017-10-01,0.11,0.11,0.11,0,0,0,0,0,0,0,0.11,0,0.11,0,0.11,0.12,0,0,0,0,0,0.11,0,0.11,0,0,0
2017-11-01,0.11,0.11,0.11,0,0,0,0.11,0,0,0,0.11,0,0.11,0,0.12,0.11,0,0,0,0,0,0.11,0,0,0,0,0
