row.names,BAB,BIL,CWB,EMB,FLOT,FTSL,GOVT,NEAR,SJNK,SPAB,SPIB,SPLB,SRLN
2015-11-01,0,0,0,0,0,0,0,0,0.2,0,0,0.8,0
2015-12-01,0,0,0,0,0,0,0,0,0.2,0,0,0.8,0
2016-01-01,0,0,0,0,0,0,0,0,0.2,0,0,0.8,0
2016-02-01,0,0,0,0,0,0,0,0,0,0,0,1,0
2016-03-01,0,0,0,0,0,0,0,0,0.2,0,0,0.8,0
2016-04-01,0,0,0,0,0,0,1,0,0,0,0,0,0
2016-05-01,0,0,0.2,0,0,0,0,0,0,0,0,0,0.8
2016-06-01,0.61,0.39,0,0,0,0,0,0,0,0,0,0,0
2016-07-01,0.23,0.46,0,0.2,0,0,0.11,0,0,0,0,0,0
2016-08-01,0.25,0.54,0,0.2,0,0,0,0.01,0,0,0,0,0
2016-09-01,0.18,0.35,0,0.2,0.11,0,0,0.13,0,0,0,0.03,0
2016-10-01,0.08,0.56,0,0.11,0.22,0.02,0,0,0,0,0,0.01,0
2016-11-01,0.05,0.58,0,0.05,0.25,0.02,0,0.05,0,0,0,0,0
2016-12-01,0,0.27,0,0,0.35,0.14,0,0.19,0.03,0,0,0.02,0
2017-01-01,0,0,0,0,0.2,0.32,0,0.24,0.05,0,0,0.04,0.15
2017-02-01,0,0,0.03,0,0.41,0.24,0,0.06,0.09,0,0,0.03,0.14
2017-03-01,0,0,0.02,0,0.53,0.29,0,0.01,0.08,0,0,0.02,0.05
2017-04-01,0,0,0.03,0,0.67,0.16,0,0,0.14,0,0,0,0
2017-05-01,0,0.1,0.11,0,0.67,0.1,0,0,0.02,0,0,0,0
2017-06-01,0,0,0.12,0,0.74,0.11,0,0,0.03,0,0,0,0
2017-07-01,0,0.36,0.08,0,0.35,0.17,0,0,0,0,0,0,0.04
2017-08-01,0,0.06,0.14,0,0.66,0.08,0,0,0,0,0,0,0.06
2017-09-01,0,0.46,0.12,0,0.38,0,0,0.04,0,0,0,0,0
2017-10-01,0,0.06,0.18,0,0.71,0,0,0.05,0,0,0,0,0
2017-11-01,0,0.12,0.2,0,0.53,0,0,0.14,0,0,0,0,0.01
